1024	128	5.29e-05	4.46e-04
	5.79e-05	3.72e-04
Perf per core	3.10e+08	3.67e+07

1024	256	5.10e-05	9.33e-04
	6.41e-05	7.62e-04
Perf per core	1.61e+08	8.78e+06

1024	512	5.41e-05	1.93e-03
	8.42e-05	1.89e-03
Perf per core	7.57e+07	2.12e+06

1024	1024	7.10e-05	4.10e-03
	1.09e-04	4.07e-03
Perf per core	2.88e+07	5.00e+05

16384	128	9.33e-03	9.53e-03
	4.69e-04	4.75e-04
Perf per core	4.50e+08	4.40e+08

16384	256	6.81e-03	5.84e-03
	1.96e-03	8.76e-04
Perf per core	3.08e+08	3.59e+08

16384	512	4.86e-03	4.77e-03
	2.03e-03	1.61e-03
Perf per core	2.16e+08	2.20e+08

16384	1024	1.91e-03	5.45e-03
	5.06e-04	3.30e-03
Perf per core	2.75e+08	9.63e+07

102400	128	4.06e-01	3.47e-01
	1.64e-03	2.31e-03
Perf per core	4.04e+08	4.72e+08

102400	256	2.05e-01	1.70e-01
	2.16e-03	2.50e-03
Perf per core	3.99e+08	4.81e+08

102400	512	1.03e-01	8.35e-02
	3.22e-03	2.16e-03
Perf per core	3.99e+08	4.91e+08

102400	1024	5.25e-02	4.48e-02
	2.13e-03	2.97e-03
Perf per core	3.90e+08	4.57e+08
